MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
08-25,0.13711457500000002,0.1481258675,0.18482547,0.1856240325,0.1697754425,0.1941693075,0.23695434999999998,0.3895070825,0.19497683500000001,0.27743515250000006,0.40825531249999997,0.21029506999999997,0.34383110499999997,0.332541655,0.425911425,0.43738126
08-30,0.14152751,0.1543434725,0.1928928525,0.19339660749999998,0.165633765,0.1964785925,0.23988116,0.37873434250000004,0.195609045,0.256701195,0.4139147675,0.2098449525,0.3525647375,0.34247518,0.43241295,0.43939726
09-04,0.1438780475,0.1614647075,0.19970295999999998,0.19963815999999998,0.1637898725,0.1983707625,0.23707569,0.35828767499999997,0.1934983675,0.232340545,0.411097865,0.198509775,0.35177952,0.345588055,0.4271935875,0.4364285375
09-09,0.1495466275,0.17434918500000002,0.21027192,0.209464975,0.16667776750000002,0.2045801825,0.2360882675,0.336101875,0.19353344249999999,0.21336650749999997,0.40176315500000004,0.18425885,0.351103595,0.3520277275,0.42392933000000005,0.43777773499999995
09-14,0.15558641750000002,0.19036983999999998,0.22051990999999999,0.21889786500000002,0.17049543749999999,0.2123797925,0.23532494250000002,0.31082494499999996,0.19278360249999998,0.19699661499999999,0.38721238999999996,0.1668450975,0.34820249999999997,0.3566897325,0.4208050475,0.4396163825
09-19,0.1643116975,0.2126136875,0.23162466250000002,0.22944318,0.17743459,0.223045175,0.23715494999999998,0.28790303,0.194251665,0.18509902,0.374181005,0.1557624875,0.34809070000000003,0.36106008500000003,0.42017096500000006,0.4416204524999999
09-24,0.17579036,0.23955730249999999,0.2438059675,0.24136022000000001,0.18801835500000003,0.23584929500000001,0.24190027000000003,0.267563955,0.1991733125,0.1775781175,0.36415501,0.152152495,0.35005522,0.365074605,0.4204279325,0.4421306875
09-29,0.19345000750000002,0.2718714525,0.257962845,0.25627737500000003,0.20520653500000002,0.2529638475,0.2510765725,0.250346605,0.2091138225,0.17435979499999998,0.3571568325,0.157953435,0.35509914249999996,0.370896175,0.42263896749999996,0.4410804625
10-04,0.216875315,0.30693588,0.274879435,0.2739607425,0.22982757499999998,0.27311771500000004,0.26343065,0.23492115249999998,0.2240501875,0.1747901275,0.35164134500000005,0.1712905025,0.364436945,0.37963610999999997,0.4279789875,0.442229925
10-09,0.24516673249999998,0.339010725,0.29492967000000003,0.2948018425,0.25833924750000004,0.2949385575,0.2797136625,0.2277669525,0.2446012025,0.18041667249999999,0.349843845,0.191727705,0.379839625,0.39228727,0.4389269575,0.449419815
10-14,0.2729089475,0.36389375749999997,0.31282734,0.3147181775,0.28375309249999997,0.315120385,0.295196055,0.225300685,0.266810335,0.18922640000000002,0.345738315,0.21581109249999997,0.392230705,0.40201629749999995,0.44638994750000005,0.4543701725
10-19,0.30047915000000003,0.38443393750000004,0.32895051000000003,0.33431907250000004,0.3080414775,0.33558429,0.30959753,0.225238335,0.29020817499999996,0.19968319750000002,0.33495768,0.24347943500000002,0.39927499,0.40910745499999995,0.44897461,0.45615808750000003
10-24,0.32505283,0.40013248999999995,0.34292783,0.3521976775,0.3292713325,0.354656395,0.32283009500000004,0.22932299,0.312733825,0.211361535,0.3196318025,0.2703275825,0.40293578,0.41454762749999996,0.4479587325,0.45343641
